time,cloud_coverage,visibility,stargaze_score,sunrise,sunset,moon_phase
2026-09-17T00:00,56,13140.0,43.99999999999999,2026-09-17T06:10,2026-09-17T18:24,0.1629707750969942
2026-09-17T01:00,76,13140.0,24.0,2026-09-17T06:10,2026-09-17T18:24,0.16438174143002016
2026-09-17T02:00,73,12920.0,27.0,2026-09-17T06:10,2026-09-17T18:24,0.1657927077630461
2026-09-17T03:00,42,11300.0,58.00000000000001,2026-09-17T06:10,2026-09-17T18:24,0.1672036740961289
2026-09-17T04:00,39,12100.0,61.0,2026-09-17T06:10,2026-09-17T18:24,0.16861464042915486
2026-09-17T05:00,20,12640.0,80.0,2026-09-17T06:10,2026-09-17T18:24,0.17002560676218081
2026-09-17T06:00,33,12240.0,67.0,2026-09-17T06:10,2026-09-17T18:24,0.17143657309532045
2026-09-17T07:00,47,13160.0,0,2026-09-17T06:10,2026-09-17T18:24,0.1728475394283464
2026-09-17T08:00,27,11980.0,0,2026-09-17T06:10,2026-09-17T18:24,0.17425850576137236
2026-09-17T09:00,27,9740.0,0,2026-09-17T06:10,2026-09-17T18:24,0.17566947209445516
2026-09-17T10:00,27,10460.0,0,2026-09-17T06:10,2026-09-17T18:24,0.1770804384274811
2026-09-17T11:00,20,12100.0,0,2026-09-17T06:10,2026-09-17T18:24,0.17849140476050707
2026-09-17T12:00,4,17140.0,0,2026-09-17T06:10,2026-09-17T18:24,0.17990237109358986
2026-09-17T13:00,2,17140.0,0,2026-09-17T06:10,2026-09-17T18:24,0.18131333742661582
2026-09-17T14:00,1,17140.0,0,2026-09-17T06:10,2026-09-17T18:24,0.18272430375964177
2026-09-17T15:00,0,17140.0,0,2026-09-17T06:10,2026-09-17T18:24,0.18413527009272457
2026-09-17T16:00,0,17140.0,0,2026-09-17T06:10,2026-09-17T18:24,0.18554623642575052
2026-09-17T17:00,0,15220.0,0,2026-09-17T06:10,2026-09-17T18:24,0.18695720275877648
2026-09-17T18:00,1,15220.0,0,2026-09-17T06:10,2026-09-17T18:24,0.18836816909185927
2026-09-17T19:00,1,13160.0,99.0,2026-09-17T06:10,2026-09-17T18:24,0.18977913542488523
2026-09-17T20:00,0,11400.0,100.0,2026-09-17T06:10,2026-09-17T18:24,0.19119010175791118
2026-09-17T21:00,0,11400.0,100.0,2026-09-17T06:10,2026-09-17T18:24,0.19260106809099398
2026-09-17T22:00,0,11400.0,100.0,2026-09-17T06:10,2026-09-17T18:24,0.19401203442401993
2026-09-17T23:00,6,11400.0,94.0,2026-09-17T06:10,2026-09-17T18:24,0.19542300075704588
